Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_1_pilon.126	PREDICTED: glutamate receptor subunit 1-like
Dcor_evm.model.hic_scaffold_1_pilon.127	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.128	Slowpoke-binding protein
Dcor_evm.model.hic_scaffold_1_pilon.129	uncharacterized protein LOC108912896
Dcor_evm.model.hic_scaffold_1_pilon.13	Cytochrome P450 9e2
Dcor_evm.model.hic_scaffold_1_pilon.130	Ubiquitin carboxyl-terminal hydrolase 7
Dcor_evm.model.hic_scaffold_1_pilon.131	Adenosine kinase
Dcor_evm.model.hic_scaffold_1_pilon.132	tRNA (cytosine(38)-C(5))-methyltransferase 
Dcor_evm.model.hic_scaffold_1_pilon.133	Protein CLEC16A homolog
Dcor_evm.model.hic_scaffold_1_pilon.134	Myosin heavy chain, non-muscle
Dcor_evm.model.hic_scaffold_1_pilon.135	myosin heavy chain, non-muscle isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.136	Actin-5C
Dcor_evm.model.hic_scaffold_1_pilon.137	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.138	Protein yippee-like 1
Dcor_evm.model.hic_scaffold_1_pilon.139	PREDICTED: zinc finger protein OZF-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.14	Inactive rhomboid protein 1-like Protein
Dcor_evm.model.hic_scaffold_1_pilon.140	Dual specificity mitogen-activated protein kinase kinase 3
Dcor_evm.model.hic_scaffold_1_pilon.141	PREDICTED: nibrin-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.142	Probable ATP-dependent RNA helicase DDX43
Dcor_evm.model.hic_scaffold_1_pilon.143	PREDICTED: uncharacterized protein LOC656533
Dcor_evm.model.hic_scaffold_1_pilon.144	uncharacterized protein LOC111413605
Dcor_evm.model.hic_scaffold_1_pilon.145	uncharacterized protein BDFB_004651
Dcor_evm.model.hic_scaffold_1_pilon.146	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
Dcor_evm.model.hic_scaffold_1_pilon.147	HEAT repeat-containing protein 6
Dcor_evm.model.hic_scaffold_1_pilon.148	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.149	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.15	PREDICTED: bromodomain-containing protein DDB_G0280777-like
Dcor_evm.model.hic_scaffold_1_pilon.150	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.151	PREDICTED: glutamate receptor 2-like, partial
Dcor_evm.model.hic_scaffold_1_pilon.152	PREDICTED: transcription factor hamlet-like
Dcor_evm.model.hic_scaffold_1_pilon.153	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.154	Rap1 GTPase-activating protein 1 
Dcor_evm.model.hic_scaffold_1_pilon.155	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.156	Xaa-Pro dipeptidase
Dcor_evm.model.hic_scaffold_1_pilon.157	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.158	Nucleolar complex protein 2 homolog
Dcor_evm.model.hic_scaffold_1_pilon.159	PREDICTED: uncharacterized protein LOC108556823, partial
Dcor_evm.model.hic_scaffold_1_pilon.16	Lipid droplet-associated hydrolase
Dcor_evm.model.hic_scaffold_1_pilon.160	Mitochondrial carrier protein Rim2
Dcor_evm.model.hic_scaffold_1_pilon.161	2-phosphoxylose phosphatase 1
Dcor_evm.model.hic_scaffold_1_pilon.162	Mitochondrial 2-oxoglutarate/malate carrier protein
Dcor_evm.model.hic_scaffold_1_pilon.163	BAG domain-containing protein Samui
Dcor_evm.model.hic_scaffold_1_pilon.164	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.165	cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B
Dcor_evm.model.hic_scaffold_1_pilon.166	Hydroxylysine kinase
Dcor_evm.model.hic_scaffold_1_pilon.167	gem (nuclear organelle) associated protein 7
Dcor_evm.model.hic_scaffold_1_pilon.168	Cytochrome c oxidase copper chaperone
Dcor_evm.model.hic_scaffold_1_pilon.169	Cytochrome c-2
Dcor_evm.model.hic_scaffold_1_pilon.17	26S proteasome non-ATPase regulatory subunit 6
Dcor_evm.model.hic_scaffold_1_pilon.170	Cyclin-dependent kinase 5 activator 1
Dcor_evm.model.hic_scaffold_1_pilon.171	2-hydroxyacyl-CoA lyase 1
Dcor_evm.model.hic_scaffold_1_pilon.172	Condensin complex subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.173	mitogen-activated protein kinase kinase kinase 7-interacting protein 3 homolog isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.174	Pre-mRNA-splicing factor Syf2
Dcor_evm.model.hic_scaffold_1_pilon.175	Polypeptide N-acetylgalactosaminyltransferase 5
Dcor_evm.model.hic_scaffold_1_pilon.176	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.177	Mediator of RNA polymerase II transcription subunit 13
Dcor_evm.model.hic_scaffold_1_pilon.178	PREDICTED: uncharacterized protein LOC108556312
Dcor_evm.model.hic_scaffold_1_pilon.179	Ubiquitin conjugation factor E4 B
Dcor_evm.model.hic_scaffold_1_pilon.18	26S proteasome non-ATPase regulatory subunit 6
Dcor_evm.model.hic_scaffold_1_pilon.180	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.181	Low density lipoprotein receptor adapter protein 1-A
Dcor_evm.model.hic_scaffold_1_pilon.182	Long-chain-fatty-acid--CoA ligase 6
Dcor_evm.model.hic_scaffold_1_pilon.183	Microsomal triglyceride transfer protein large subunit
Dcor_evm.model.hic_scaffold_1_pilon.184	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.185	Glyceraldehyde-3-phosphate dehydrogenase
Dcor_evm.model.hic_scaffold_1_pilon.186	PREDICTED: eukaryotic translation initiation factor 4E-binding protein 1
Dcor_evm.model.hic_scaffold_1_pilon.187	PREDICTED: facilitated trehalose transporter Tret1-like
Dcor_evm.model.hic_scaffold_1_pilon.188	Protein bowel
Dcor_evm.model.hic_scaffold_1_pilon.189	UPF0605 protein CG18335-like
Dcor_evm.model.hic_scaffold_1_pilon.19	PREDICTED: uncharacterized protein LOC108568890
Dcor_evm.model.hic_scaffold_1_pilon.190	Globin
Dcor_evm.model.hic_scaffold_1_pilon.191	Globin
Dcor_evm.model.hic_scaffold_1_pilon.192	PREDICTED: facilitated trehalose transporter Tret1-like
Dcor_evm.model.hic_scaffold_1_pilon.193	Deoxyhypusine hydroxylase
Dcor_evm.model.hic_scaffold_1_pilon.194	Protein odd-skipped
Dcor_evm.model.hic_scaffold_1_pilon.195	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.196	Protein drumstick
Dcor_evm.model.hic_scaffold_1_pilon.197	Protein drumstick
Dcor_evm.model.hic_scaffold_1_pilon.198	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.199	Dynein regulatory complex protein 1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.2	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.20	Rho GTPase-activating protein 68F
Dcor_evm.model.hic_scaffold_1_pilon.200	uncharacterized protein BDFB_005921
Dcor_evm.model.hic_scaffold_1_pilon.201	PREDICTED: protein HID1
Dcor_evm.model.hic_scaffold_1_pilon.202	switch 2
Dcor_evm.model.hic_scaffold_1_pilon.203	uncharacterized protein LOC111426654 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.204	N6-adenosine-methyltransferase non-catalytic subunit
Dcor_evm.model.hic_scaffold_1_pilon.205	Xaa-Pro dipeptidase
Dcor_evm.model.hic_scaffold_1_pilon.206	PREDICTED: uncharacterized protein LOC108560341
Dcor_evm.model.hic_scaffold_1_pilon.207	PREDICTED: uncharacterized protein LOC108560341
Dcor_evm.model.hic_scaffold_1_pilon.208	Epsin-2
Dcor_evm.model.hic_scaffold_1_pilon.209	Nuclear pore complex protein Nup75
Dcor_evm.model.hic_scaffold_1_pilon.21	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.210	Factor VIII intron 22 protein
Dcor_evm.model.hic_scaffold_1_pilon.211	PREDICTED: uncharacterized protein LOC108568420
Dcor_evm.model.hic_scaffold_1_pilon.212	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.213	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.214	Dorsal-ventral patterning protein tolloid
Dcor_evm.model.hic_scaffold_1_pilon.215	DNA (cytosine-5)-methyltransferase PliMCI
Dcor_evm.model.hic_scaffold_1_pilon.216	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.217	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.218	PREDICTED: uncharacterized protein LOC660130 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.219	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O
Dcor_evm.model.hic_scaffold_1_pilon.22	Protein Cep78 homolog
Dcor_evm.model.hic_scaffold_1_pilon.220	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
Dcor_evm.model.hic_scaffold_1_pilon.221	RING finger protein unkempt
Dcor_evm.model.hic_scaffold_1_pilon.222	Histone H3.3A
Dcor_evm.model.hic_scaffold_1_pilon.223	PREDICTED: uncharacterized protein LOC109536667
Dcor_evm.model.hic_scaffold_1_pilon.224	Disks large homolog 5
Dcor_evm.model.hic_scaffold_1_pilon.225	Protein kinase C iota type
Dcor_evm.model.hic_scaffold_1_pilon.226	Atypical protein kinase C
Dcor_evm.model.hic_scaffold_1_pilon.227	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.228	PREDICTED: uncharacterized protein LOC108568798
Dcor_evm.model.hic_scaffold_1_pilon.229	GPI inositol-deacylase
Dcor_evm.model.hic_scaffold_1_pilon.23	Protein insensitive
Dcor_evm.model.hic_scaffold_1_pilon.230	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.231	Dehydrodolichyl diphosphate synthase complex subunit DHDDS
Dcor_evm.model.hic_scaffold_1_pilon.232	Transmembrane protein 203
Dcor_evm.model.hic_scaffold_1_pilon.233	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.234	General transcription factor IIH subunit 5
Dcor_evm.model.hic_scaffold_1_pilon.235	PREDICTED: zinc finger HIT domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.236	Exosome complex component RRP40
Dcor_evm.model.hic_scaffold_1_pilon.237	Probable serine hydrolase
Dcor_evm.model.hic_scaffold_1_pilon.238	hypothetical protein BDFB_006211
Dcor_evm.model.hic_scaffold_1_pilon.239	Roundabout homolog 1
Dcor_evm.model.hic_scaffold_1_pilon.24	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.240	Roundabout homolog 1
Dcor_evm.model.hic_scaffold_1_pilon.241	Roundabout homolog 1
Dcor_evm.model.hic_scaffold_1_pilon.242	Robo3
Dcor_evm.model.hic_scaffold_1_pilon.243	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.244	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.245	F-box/LRR-repeat protein 4
Dcor_evm.model.hic_scaffold_1_pilon.246	SET and MYND domain-containing protein 4
Dcor_evm.model.hic_scaffold_1_pilon.247	Protein singed wings 2
Dcor_evm.model.hic_scaffold_1_pilon.248	Histone acetyltransferase KAT6B
Dcor_evm.model.hic_scaffold_1_pilon.249	Probable ATP-dependent RNA helicase DDX47
Dcor_evm.model.hic_scaffold_1_pilon.25	uncharacterized protein BDFB_006604
Dcor_evm.model.hic_scaffold_1_pilon.250	SUZ domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.251	Thioredoxin domain-containing protein 11
Dcor_evm.model.hic_scaffold_1_pilon.252	PREDICTED: lysozyme-like
Dcor_evm.model.hic_scaffold_1_pilon.253	PREDICTED: lysozyme-like, partial
Dcor_evm.model.hic_scaffold_1_pilon.254	uncharacterized protein LOC108908062
Dcor_evm.model.hic_scaffold_1_pilon.255	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.256	PREDICTED: uncharacterized protein LOC108562296
Dcor_evm.model.hic_scaffold_1_pilon.257	PREDICTED: uncharacterized protein LOC108567020
Dcor_evm.model.hic_scaffold_1_pilon.258	Charged multivesicular body protein 2b
Dcor_evm.model.hic_scaffold_1_pilon.259	Probable G-protein coupled receptor CG31760
Dcor_evm.model.hic_scaffold_1_pilon.26	Lissencephaly-1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.260	Intraflagellar transport protein 56
Dcor_evm.model.hic_scaffold_1_pilon.261	Cytokine-inducible SH2-containing protein
Dcor_evm.model.hic_scaffold_1_pilon.262	General transcription factor 3C polypeptide 1
Dcor_evm.model.hic_scaffold_1_pilon.263	SUN domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.264	Peptidyl-prolyl cis-trans isomerase-like 4
Dcor_evm.model.hic_scaffold_1_pilon.265	PREDICTED: prohormone-2-like
Dcor_evm.model.hic_scaffold_1_pilon.266	B-cell lymphoma 3 protein homolog
Dcor_evm.model.hic_scaffold_1_pilon.267	PREDICTED: uncharacterized protein LOC108568551
Dcor_evm.model.hic_scaffold_1_pilon.268	PREDICTED: uncharacterized protein LOC108568551
Dcor_evm.model.hic_scaffold_1_pilon.269	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.27	E3 ubiquitin-protein ligase RBBP6
Dcor_evm.model.hic_scaffold_1_pilon.270	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.271	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.272	Protein LSM14 homolog B-B
Dcor_evm.model.hic_scaffold_1_pilon.273	Protein lin-37 homolog
Dcor_evm.model.hic_scaffold_1_pilon.274	Ankyrin repeat domain-containing protein 13B
Dcor_evm.model.hic_scaffold_1_pilon.275	Protein KRTCAP2 homolog
Dcor_evm.model.hic_scaffold_1_pilon.276	Congested-like trachea protein
Dcor_evm.model.hic_scaffold_1_pilon.277	Congested-like trachea protein
Dcor_evm.model.hic_scaffold_1_pilon.278	Nuclear RNA export factor 1
Dcor_evm.model.hic_scaffold_1_pilon.279	Neuropilin-2
Dcor_evm.model.hic_scaffold_1_pilon.28	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.280	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.281	Glyoxylate reductase/hydroxypyruvate reductase
Dcor_evm.model.hic_scaffold_1_pilon.282	Protein atonal homolog 8
Dcor_evm.model.hic_scaffold_1_pilon.283	Ankyrin repeat domain-containing protein 27
Dcor_evm.model.hic_scaffold_1_pilon.284	PREDICTED: uncharacterized protein LOC108567036
Dcor_evm.model.hic_scaffold_1_pilon.285	PREDICTED: uncharacterized protein LOC108567036
Dcor_evm.model.hic_scaffold_1_pilon.286	hypothetical protein AMK59_2711
Dcor_evm.model.hic_scaffold_1_pilon.287	Trehalase
Dcor_evm.model.hic_scaffold_1_pilon.288	Trehalase
Dcor_evm.model.hic_scaffold_1_pilon.289	Serine/threonine-protein kinase/endoribonuclease IRE1
Dcor_evm.model.hic_scaffold_1_pilon.29	RNA-binding motif protein, X-linked 2
Dcor_evm.model.hic_scaffold_1_pilon.290	Proton-coupled folate transporter
Dcor_evm.model.hic_scaffold_1_pilon.291	26S proteasome non-ATPase regulatory subunit 12
Dcor_evm.model.hic_scaffold_1_pilon.292	DIS3-like exonuclease 2
Dcor_evm.model.hic_scaffold_1_pilon.293	PREDICTED: uncharacterized protein LOC108567014
Dcor_evm.model.hic_scaffold_1_pilon.294	Protein LSM14 B-B
Dcor_evm.model.hic_scaffold_1_pilon.295	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
Dcor_evm.model.hic_scaffold_1_pilon.296	probable tRNA splicing endonuclease subunit sen54 isoform X2, partial
Dcor_evm.model.hic_scaffold_1_pilon.297	Ankyrin repeat domain-containing protein 40
Dcor_evm.model.hic_scaffold_1_pilon.298	H(+)/Cl(-) exchange transporter 7
Dcor_evm.model.hic_scaffold_1_pilon.299	Wiskott-Aldrich syndrome protein family member 3
Dcor_evm.model.hic_scaffold_1_pilon.3	PREDICTED: putative uncharacterized protein DDB_G0277255, partial
Dcor_evm.model.hic_scaffold_1_pilon.30	Superoxide dismutase [Mn] 1, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.300	Probable ribonuclease ZC3H12B
Dcor_evm.model.hic_scaffold_1_pilon.301	U3 small nucleolar RNA-associated protein 14 homolog A
Dcor_evm.model.hic_scaffold_1_pilon.302	Histone H2B
Dcor_evm.model.hic_scaffold_1_pilon.303	Histone H2B
Dcor_evm.model.hic_scaffold_1_pilon.304	Putative ATP synthase subunit f, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.305	Carboxypeptidase M
Dcor_evm.model.hic_scaffold_1_pilon.306	Carboxypeptidase M
Dcor_evm.model.hic_scaffold_1_pilon.307	Septin-4
Dcor_evm.model.hic_scaffold_1_pilon.308	Ionotropic receptor 75a
Dcor_evm.model.hic_scaffold_1_pilon.309	Tubulin polyglutamylase TTLL4
Dcor_evm.model.hic_scaffold_1_pilon.31	Frizzled-10-A
Dcor_evm.model.hic_scaffold_1_pilon.310	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11
Dcor_evm.model.hic_scaffold_1_pilon.311	Trehalase
Dcor_evm.model.hic_scaffold_1_pilon.312	Pyridoxal-dependent decarboxylase domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.313	Ubiquitin carboxyl-terminal hydrolase 22
Dcor_evm.model.hic_scaffold_1_pilon.314	G protein-activated inward rectifier potassium channel 4
Dcor_evm.model.hic_scaffold_1_pilon.315	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.316	ATP-sensitive inward rectifier potassium channel 12
Dcor_evm.model.hic_scaffold_1_pilon.317	Protein yellow
Dcor_evm.model.hic_scaffold_1_pilon.318	E3 ubiquitin-protein ligase Smurf1
Dcor_evm.model.hic_scaffold_1_pilon.319	PREDICTED: kinesin-related protein 4-like isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.32	Androgen-induced gene 1 protein
Dcor_evm.model.hic_scaffold_1_pilon.320	Pre-mRNA-splicing regulator female-lethal(2)D
Dcor_evm.model.hic_scaffold_1_pilon.321	U6 snRNA-associated Sm-like protein LSm3
Dcor_evm.model.hic_scaffold_1_pilon.322	SET domain-containing protein SmydA-8, isoform B
Dcor_evm.model.hic_scaffold_1_pilon.323	GMP synthase [glutamine-hydrolyzing]
Dcor_evm.model.hic_scaffold_1_pilon.324	Protein LSM14 homolog A-A
Dcor_evm.model.hic_scaffold_1_pilon.325	NAD kinase
Dcor_evm.model.hic_scaffold_1_pilon.326	Activating signal cointegrator 1 complex subunit 2
Dcor_evm.model.hic_scaffold_1_pilon.327	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.328	Amyloid protein-binding protein 2
Dcor_evm.model.hic_scaffold_1_pilon.329	RutC family protein UK114
Dcor_evm.model.hic_scaffold_1_pilon.33	Clavesin-2
Dcor_evm.model.hic_scaffold_1_pilon.330	Laccase-2
Dcor_evm.model.hic_scaffold_1_pilon.331	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.332	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.333	Short-chain dehydrogenase/reductase family 16C member 6
Dcor_evm.model.hic_scaffold_1_pilon.334	Short-chain dehydrogenase/reductase family 16C member 6
Dcor_evm.model.hic_scaffold_1_pilon.335	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.336	WD repeat-containing protein 81
Dcor_evm.model.hic_scaffold_1_pilon.337	Myosin heavy chain, muscle
Dcor_evm.model.hic_scaffold_1_pilon.338	Lactosylceramide 4-alpha-galactosyltransferase
Dcor_evm.model.hic_scaffold_1_pilon.339	Unconventional myosin ID
Dcor_evm.model.hic_scaffold_1_pilon.34	PREDICTED: WEB family protein At5g16730, chloroplastic isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.340	PREDICTED: protein phosphatase 1 regulatory subunit 7
Dcor_evm.model.hic_scaffold_1_pilon.341	Broad-complex core protein isoforms 1/2/3/4/5
Dcor_evm.model.hic_scaffold_1_pilon.342	Glutathione S-transferase theta-1
Dcor_evm.model.hic_scaffold_1_pilon.343	Bifunctional coenzyme A synthase
Dcor_evm.model.hic_scaffold_1_pilon.344	Forkhead box protein J1-B
Dcor_evm.model.hic_scaffold_1_pilon.345	Glucose dehydrogenase [FAD, quinone]
Dcor_evm.model.hic_scaffold_1_pilon.346	Protein spaetzle 4
Dcor_evm.model.hic_scaffold_1_pilon.347	Cyclin-dependent kinase 2-associated protein 1
Dcor_evm.model.hic_scaffold_1_pilon.348	Lysophospholipid acyltransferase 7
Dcor_evm.model.hic_scaffold_1_pilon.349	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.35	40S ribosomal protein S26
Dcor_evm.model.hic_scaffold_1_pilon.350	Sarcolemmal membrane-associated protein
Dcor_evm.model.hic_scaffold_1_pilon.351	WW domain-binding protein 2
Dcor_evm.model.hic_scaffold_1_pilon.352	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.353	PRKR-interacting protein 1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.354	Ragulator complex protein LAMTOR2
Dcor_evm.model.hic_scaffold_1_pilon.355	Nucleolar MIF4G domain-containing protein 1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.356	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.357	Ubiquitin carboxyl-terminal hydrolase calypso
Dcor_evm.model.hic_scaffold_1_pilon.358	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.359	Enoyl-CoA hydratase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.36	PEST proteolytic signal-containing nuclear protein
Dcor_evm.model.hic_scaffold_1_pilon.360	E3 ubiquitin-protein ligase RING1
Dcor_evm.model.hic_scaffold_1_pilon.361	Glycoprotein 3-alpha-L-fucosyltransferase A
Dcor_evm.model.hic_scaffold_1_pilon.362	PREDICTED: uncharacterized protein LOC108565455
Dcor_evm.model.hic_scaffold_1_pilon.363	Guanine nucleotide-binding protein subunit beta-like protein
Dcor_evm.model.hic_scaffold_1_pilon.364	CDK5 regulatory subunit-associated protein 1
